State,Total revenue,General revenue,Intergovernmental revenue,Taxes,General sales,Selective sales,License taxes,Individual income tax,Corporate income tax,Other taxes,Current charge,Miscellaneous general revenue,Utility revenue,Liquor stores revenue,Insurance trust revenue,Total expenditure,Intergovernmental expenditure,Direct expenditure,Current operation,Capital outlay,Insurance benefits and repayments,Assistance and subsidies,Interest on debt,Exhibit: Salaries and wages,Total expenditure,General expenditure,Intergovernmental expenditure,Direct expenditure,"General expenditure, by function:",Education,Public welfare,Hospitals,Health,Highways,Police protection,Correction,Natural resources,Parks and recreation,Governmental administration,Interest on general debt,Other and unallocable,Utility expenditure,Liquor stores expenditure,Insurance trust expenditure,Debt at end of fiscal year,Cash and security holdings
Rhode Island,"8,893,857","7,997,153","2,830,590","3,165,635","959,513","661,010","89,794","1,215,368","176,336","63,614","1,069,183","931,745","24,588",,"872,116","8,900,825","1,214,844","7,685,981","5,298,486","453,035","1,255,659","159,199","519,602","1,220,737","8,900,825","7,535,554","1,214,844","6,320,710",,"1,981,863","3,008,751","56,811","184,434","322,533","87,957","201,365","69,549","32,191","531,002","518,566","455,533","109,612",,"1,255,659","9,004,835","13,105,482"
South Carolina,"30,354,282","25,518,253","9,406,376","9,598,478","3,568,788","1,276,442","556,245","3,695,701","377,329","123,973","4,671,714","1,841,685","1,983,216",,"2,852,813","30,366,641","5,779,185","24,587,456","18,083,296","1,361,763","3,314,405","1,288,344","539,648","3,804,630","30,366,641","25,224,165","5,779,185","19,444,980",,"9,160,360","7,594,043","1,637,482","1,003,641","1,230,450","167,268","458,406","193,871","110,054","619,720","265,819","1,032,197","1,828,071",,"3,314,405","14,738,437","27,545,274"
South Dakota,"4,752,945","4,072,759","1,468,446","1,674,108","970,784","401,898","288,796",0,"4,334","8,296","353,608","576,597","1,430",,"678,756","4,773,791","787,017","3,986,774","2,690,848","555,168","510,113","122,268","108,377","716,683","4,773,791","4,263,678","787,017","3,476,661",,"1,320,602","1,101,035","23,640","125,551","605,572","45,414","125,955","209,155","34,380","220,040","108,377","297,654",,,"510,113","3,346,046","14,198,098"
Tennessee,"30,091,732","27,466,329","10,716,674","12,698,496","6,548,032","2,648,689","1,502,770","302,196","1,400,973","295,836","2,058,062","1,993,097",0,,"2,625,403","30,842,097","6,960,282","23,881,815","18,369,936","1,547,913","2,500,615","1,224,251","239,100","3,780,988","30,842,097","28,340,888","6,960,282","21,380,606",,"10,131,629","11,235,158","347,785","612,458","1,539,233","208,743","903,791","319,539","86,092","1,034,376","239,100","1,308,098",594,,"2,500,615","7,120,773","34,534,158"
Texas,"133,653,200","120,496,914","39,734,473","55,086,438","33,664,187","13,989,995","3,426,885",0,0,"4,005,371","14,201,638","11,474,365",,,"13,156,286","136,514,037","30,404,530","106,109,507","75,885,966","9,184,944","16,569,896","3,263,890","1,204,811","17,226,316","136,514,037","119,937,919","30,404,530","89,533,389",,"51,934,894","36,204,845","6,970,243","2,509,135","8,239,725","1,000,389","3,848,272","905,280","207,078","2,063,407","1,204,811","4,327,752","100,281",,"16,569,896","48,038,004","214,171,756"
Utah,"18,810,478","15,860,995","4,238,358","6,703,356","1,882,901","883,823","280,021","3,157,718","368,681","130,212","3,757,495","1,161,786",,"334,840","2,614,643","18,360,434","3,410,675","14,949,759","10,678,775","1,521,056","1,696,444","816,405","237,079","3,015,124","18,360,434","16,423,836","3,410,675","13,013,161",,"7,444,709","3,428,679","1,501,057","254,522","1,078,461","144,063","342,133","188,640","43,128","985,897","237,079","711,090",,"240,154","1,696,444","7,479,978","23,974,830"
Vermont,"6,363,175","6,084,121","2,156,853","3,043,152","366,667","659,521","111,527","709,310","112,643","1,083,484","601,179","282,937",,"54,320","224,734","6,585,027","1,719,452","4,865,575","3,944,488","282,154","361,134","167,828","109,971","869,783","6,585,027","6,166,657","1,719,452","4,447,205",,"2,596,210","1,750,376","19,328","334,625","476,237","99,220","145,129","102,802","18,877","190,222","109,971","262,742","27,063","57,216","361,134","3,388,764","6,179,602"
Virginia,"51,345,671","44,283,149","9,992,812","20,536,885","3,793,215","2,701,872","829,279","11,903,945","817,851","490,723","9,499,709","4,253,743",0,"704,141","6,358,381","50,181,974","11,622,943","38,559,031","28,210,352","3,437,552","4,675,984","1,168,755","1,066,388","6,980,955","50,181,974","44,870,128","11,622,943","33,247,185",,"15,981,360","9,986,797","4,417,363","1,215,670","5,139,780","426,084","1,453,297","272,858","122,238","1,363,228","1,066,388","2,005,292","434,884","573,490","4,675,984","28,231,613","75,049,855"
Washington,"50,008,690","41,561,687","13,247,057","20,644,454","12,517,831","3,723,403","1,396,989",0,0,"3,006,231","5,090,011","2,580,165",4,0,"8,446,999","50,812,399","11,783,929","39,028,470","26,397,268","2,884,867","6,753,385","1,577,951","1,414,999","7,320,734","50,812,399","43,875,706","11,783,929","32,091,777",,"17,101,172","11,329,491","2,586,923","2,239,003","2,930,924","405,692","984,771","918,107","257,577","1,263,265","1,414,999","1,721,239","235,979",0,"6,753,385","32,231,967","60,798,213"
West Virginia,"13,770,542","12,546,909","4,513,946","5,565,985","1,293,327","1,325,996","138,918","1,932,457","188,758","686,529","1,426,708","1,040,270","2,764","93,951","1,126,918","14,252,984","2,578,274","11,674,710","8,710,760","835,786","1,375,539","571,299","181,326","1,760,289","14,252,984","12,790,705","2,578,274","10,212,431",,"4,440,368","4,651,087","136,349","264,918","1,017,574","73,554","285,324","274,804","53,684","501,619","181,326","818,827","16,493","76,406","1,375,539","8,161,669","15,981,617"
Wisconsin,"41,554,288","33,396,116","9,402,116","17,019,139","4,892,126","2,754,971","1,026,575","7,069,248","1,032,411","243,808","4,108,499","2,866,362",,,"8,158,172","40,116,752","11,060,107","29,056,645","20,709,827","1,913,531","5,164,978","669,851","598,458","4,207,320","40,116,752","34,899,560","11,060,107","23,839,453",,"11,752,333","9,955,799","1,877,692","724,909","3,311,439","96,946","1,125,914","576,150","21,300","1,217,851","598,458","1,091,514","206,075",,"5,164,978","22,086,615","57,612,497"
Wyoming,"7,983,068","6,768,343","2,999,924","2,356,323","811,105","183,745","153,768",0,0,"1,207,705","249,418","1,162,678",383,"110,208","1,104,134","6,089,770","1,505,591","4,584,179","3,277,812","467,279","761,738","50,060","27,290","683,539","6,089,770","5,232,487","1,505,591","3,726,896",,"2,020,840","799,594","3,442","228,679","596,501","39,244","143,520","245,581","22,096","334,311","27,290","579,303","45,715","95,540","761,738","834,783","27,675,951"
